funct	0.29338170140180403	0.03348316416524221
pronoun	0.0531672132813143	0.001896343849107006
ppron	0.025386184341942626	0.0005003866265262782
i	0.004723239162793262	3.948761202071833e-05
we	0.001841089093935853	4.4126350474113e-06
you	0.013885554384526058	0.0002132674323209816
shehe	0.0023458093510129504	1.2673282902391294e-05
they	0.0025891877322789143	7.422546447661457e-06
ipron	0.02778102893937167	0.0005410488295859904
article	0.04293664207065065	0.000761063423413242
verb	0.07165192878333715	0.0027433504444850723
auxverb	0.044027121942118115	0.0012724941921669055
past	0.018633301477826807	0.0005911874549935457
present	0.03949342216676478	0.001088757279918201
future	0.006467189924610094	4.474638404672687e-05
adverb	0.01931861256380003	0.00027323096229241655
preps	0.09088149761048056	0.003368241715343578
conj	0.029023507236517046	0.00046976706509888413
negate	0.006565919612269467	4.597622337596995e-05
quant	0.01951099941814233	0.0003380158683218534
number	0.003933480940252192	1.2796513133808533e-05
swear	0.0004272185348037839	1.8428616841475576e-05
social	0.04566841529978376	0.0013703207085366364
family	0.0004796956302594054	2.9682678404453935e-06
friend	0.000327381545215304	6.684396799141432e-07
humans	0.002298569783763964	0.00013915306807248573
affect	0.02442216320286318	0.00038618130642525126
posemo	0.017354029469649947	0.00023861166001579366
negemo	0.006820985389261068	5.0902317075322244e-05
anx	0.001087686475934039	9.752505260404122e-06
anger	0.0023566843264289164	1.3648300081565926e-05
sad	0.0009462746879840947	4.6438460521719164e-06
cogmech	0.0924953688227114	0.004724586141459866
insight	0.016402509393892546	0.00018327960531470586
cause	0.01280587809520467	0.00012016883014985217
discrep	0.00937915371044291	7.432369364343311e-05
tentat	0.016099752747105962	0.00019063741286243975
certain	0.005957099245291475	4.246035672321284e-05
inhib	0.004269327359252866	3.2855225688415e-05
incl	0.020101679095408012	0.00023057435915106335
excl	0.01462759078944112	0.00016047360138336333
percept	0.009919071108380707	0.00016901873182071376
see	0.00647104866085824	0.0001300988403730271
hear	0.0019702376012793333	2.9025697112018116e-05
feel	0.0014148857071702465	6.465281755306744e-06
bio	0.0030821281740854066	6.263939928972152e-05
body	0.0008294689499598389	2.093079046788856e-06
health	0.0010868714898048144	6.676278596341129e-06
sexual	0.0007388237215260675	4.43290843865388e-05
ingest	0.000529461291963182	5.641567249295379e-06
relativ	0.07829320862306463	0.003758413088865373
motion	0.009164206368038837	6.448276034920276e-05
space	0.03940650873696058	0.0009963366392953623
time	0.029495469288013016	0.001094945646536298
work	0.021993980018811393	0.00031823607074226486
achieve	0.010566687171646164	0.00012962394268727523
leisure	0.006278366473125697	9.631183612228083e-05
home	0.0007878345277260493	2.455012164964386e-06
money	0.00358343143105601	0.00015553109212470236
relig	0.0008645463080203849	7.550339547977372e-06
death	0.0005352330349560994	1.3883950691132902e-06
assent	0.0009853881988752583	1.5773322741673125e-05
nonfl	0.0005412813069000222	7.9157039642836e-07
filler	8.164248565337038e-06	4.916463019175922e-09
